房型,入住时间,入住类型,评分,评论,评论时间
高级市景大床房,于2022年9月入住,情侣出游,5,非常好。干净整洁舒适,2022年9月11日 发布于山东
高级海景双床房,于2022年6月入住,朋友出游,5,酒店特别棒，景色特别好。前台服务很热情，如果下次来的话，还住这里。青岛是一个很美丽的地方，很留恋。下次见！,2022年6月20日发布
高级海景家庭房,于2022年9月入住,朋友出游,5,海景房风景还不错,2022年9月12日 发布于山东
高级海景大床房,于2022年10月入住,家庭亲子,3.5,不得不承认这是一家性价比很高的酒店式公寓，位置不错，周边的餐饮购物都非常方便，我订了豪华家庭房和豪华海景房景色也都不错。设施方面怎么说呢，想想这个价格也算过得去吧。但是他家的早餐我必须吐槽一下，这么难吃的东西为什么会有人给予丰富好吃的评价。清一色的半成品加热，连个下面的人都没有，很明显是没有后厨的。吃了碗小米粥，啃了块面包，喝了杯口感极差的牛奶走人，建议大家避开早餐，我替你们踩雷了😂,2022年10月4日 发布于山东
高级市景大床房,于2022年9月入住,情侣出游,5,前台小哥老温油了，爱了,2022年9月5日 发布于山东
高级市景大床房,于2022年6月入住,商务出差,5,房间干净卫生，设施齐全，前台服务好，给升级了海景房，外面风景很漂亮，周边交通生活都很方便，经常来青岛，以后还会来住,2022年6月7日发布
高级海景双床房,于2022年8月入住,家庭亲子,5,非常满意 干净卫生 看海,2022年8月26日 发布于山东
亲子家庭房,于2022年5月入住,商务出差,5,房间不错，给升级的海景房，高层风景挺好。附近交通便利，步行能到石老人浴场，吃饭也很方便，前台是24小时的。性价比不错。,2022年5月25日发布
高级海景双床房,于2022年8月入住,家庭亲子,5,海景房太好了，孩子都不想出去了。,2022年8月12日 发布于山东
高级海景大床房,于2022年5月入住,情侣出游,3.7,位置在石老人旁边，步行10分钟，很方便，旁边还有超市商场，买东西也方便，，房间可以直接看到大海。就是前台服务可以更好一些,2022年8月6日 发布于山东
高级海景双床房,于2022年4月入住,家庭亲子,5,هذا الفندق جيد جدا ، MHM.يمكنك رؤية شاطئ شيلاو ، والرؤية جيدة جدًا ، والطابق مرتفع جدًا.,2022年4月4日发布
高级海景双床房,于2022年5月入住,朋友出游,5,海景景色很好， 前台小姐姐给升级了房间，工作人员态度都很好 房间舒适干净 有洗衣机小冰箱 第二次来了，下次来海边还会选择绿峰,2022年5月13日发布
市景大床房,于2022年3月入住,商务出差,5,非常舒适，还自带电磁炉微波炉冰箱和洗衣机晾衣架。尤其适合有孩子的家庭组合啦～～如果疫情隔离了呆在房间里看看大海也是很好的。因为疫情回不去，在这里呆了快两个月，这家店也很人性地给我打了折还送了消毒用品，感谢！,2022年4月26日发布
市景大床房,于2022年7月入住,家庭亲子,5,住着挺舒服的 就是双人床1.5米的有点小！,2022年7月28日 发布于山东
高级海景大床房,于2022年7月入住,朋友出游,5,美好的一天从看见大海开始！物有所值值的好评,2022年7月28日 发布于山东
高级市景大床房,于2022年7月入住,商务出差,5,环境优美 交通便利 卫生和服务也很不错 ，推荐！,2022年7月20日发布
高级海景家庭房,于2022年5月入住,情侣出游,5,这么高性价比的酒店不好找咯，床很舒服 飘窗上看海超有感觉，wifi也很快，房间也很干净 服务也好，总之下次再来青岛不会换地方住啦,2022年5月6日发布
高级海景大床房,于2022年5月入住,独自旅行,5,出门步行10min就可以到海边，5min就可以到苗岭路地铁站，丽达购物中心，金狮广场10min 内也能到，很干净舒服,2022年5月15日发布
豪华市景家庭房,于2022年7月入住,朋友出游,5,床很舒服 有洗衣机有冰箱 还有大飘窗 工作人员态度也很好,2022年7月5日发布
高级海景大床房,于2022年5月入住,朋友出游,5,这家风景简直绝绝子，超大海景房，海景简直是石老人附近的一绝了，天气好还能看到麦岛。前台还给免费升级了房型，推荐大家入住。,2022年5月7日发布
高级海景大床房,于2022年4月入住,商务出差,5,酒店蛮不错的，出差办公住着很好，特别房间里面有办公桌，洗衣机，微波炉，这些对我们外出在外的人来说都是确实很方便的设施，海景也不错,2022年4月28日发布
高级市景大床房,于2022年6月入住,朋友出游,5,房间很大，床很大，有个飘窗榻榻米，很喜欢，体验很棒，下次还来🥳,2022年6月19日发布
高级海景大床房,于2022年6月入住,情侣出游,5,入住特别顺利，楼层安排的也很好，设备齐全，值得推荐！！！,2022年6月25日发布
高级海景大床房,于2022年5月入住,独自旅行,4.7,景色好 周围交通便利而且逛的地方也多 离海边又近 房间内整体还是可以的 下次去青岛应该还会选这里,2022年5月21日发布
高级市景大床房,于2022年3月入住,情侣出游,4.5,🍃环境：飘窗朝南，面朝大海，无敌海景 🚗 交通：紧邻苗岭路地铁站楼下有地下停车场，晚七点到第二天十点收费36元，有点小贵 旅游淡季价格性价比高，前台服务热情到位 给免费升级了家庭套房，好评👍,2022年3月5日发布
高级海景家庭房,于2022年8月入住,家庭亲子,3,碰到旺季，价格高，这个没问题。但是，卫生整洁度也不说差了，一般吧。服务也一般，连个一次性剃须刀都没配备。门也好修理一下了。建议管理人员也得加强学习，学学其他酒店管理的模式。公共区域的电梯怎么这么脏，作为酒店管理房，你得提问题，让物业单位改进。一进你们大厅，乱糟糟的，能的跟个***似的。你们这还4.8分。不用说，斯维登是个什么样，基本差不多了。,2022年8月21日 发布于山东
高级海景双床房,于2022年5月入住,朋友出游,5,🚗 交通：超级，购物方便 🧹卫生：无可挑剔 🍃环境：应该装修没多久，设施齐全 🔔服务：热情周到,2022年5月11日发布
市景大床房,于2022年8月入住,朋友出游,3.7,来青岛出差，周六入住一晚，市景房比较宽敞，就是隔音不好，服务员说话声音很大，最主要的是很晚了，整个楼层警报突然响了，响了5分钟左右都没有服务员上来，也对，42楼，发生什么事跑也没有用，离海边很近，楼下有便利店，方便。,2022年8月8日 发布于北京
高级市景大床房,于2022年7月入住,独自旅行,4,环境卫生还行,2022年7月29日 发布于山东
高级市景大床房,于2022年5月入住,商务出差,5,房间很棒，价格超值，干净卫生睡得舒服，楼下便利店也很方便！前台妹妹服务很好，五星好评！,2022年5月7日发布
高级海景大床房,于2022年8月入住,家庭亲子,5,一次非常不错的住宿体验，酒店卫生搞得很好，飘窗可以看到石老人海水浴场的沙滩，地理位置优越，两个路口步行10分钟就到，楼下有便利店和各类饭馆，无论是海鲜还是烧烤，拉面还是东北菜都应有尽有，自驾的话到地下停车场，头两个小时免费，22：00-8：00总计20元，8：00以后每小时4元，不过好多人都把车停在马路边上，看运气好坏是否会迟到罚单了，供参考,2022年8月4日 发布于山东
市景大床房,于2022年6月入住,情侣出游,5,帮忙升级了房型，，愉快的出游 🤪,2022年6月19日发布
高级市景大床房,于2022年2月入住,商务出差,5,隔音：晚上隔音真的很好，很安静，睡的很舒心。 环境：窗外环境很美，给我升级的海景房，面朝大海，坐观日升日落 服务：前台小姐姐阳光大气，服务热心，重点超级美女，哈哈。,2022年3月1日发布
市景大床房,于2022年5月入住,情侣出游,5,风景很好 窗外就是石老人 环境也很不错 前台小姐姐很有耐心,2022年5月26日发布
高级市景大床房,于2022年6月入住,情侣出游,5,好评，酒店很不错，住得挺舒服的，假期再长点就好了。,2022年6月5日发布
高级海景大床房,于2022年9月入住,朋友出游,5,住的特别舒服，离丽达商圈很近，离石老人海水浴场也近，甚至离核酸检测点也近！溜达着就可以度过好几天的时光，把充电器忘在房间，很贴心地给我出主意送回来，下次有机会还要再去住！,2022年9月12日 发布于山东
高级海景家庭房,于2022年7月入住,家庭亲子,5,干净整洁海景好,2022年7月14日发布
豪华市景家庭房,于2022年6月入住,家庭亲子,5,有厨房，房间宽敞，楼层高非常安静,2022年6月20日发布
高级市景大床房,于2022年5月入住,商务出差,5,总之确实好，行李还给寄存了2次，4202顾客留！,2022年6月2日发布
高级海景大床房,于2022年5月入住,商务出差,5,风景很美，工作累了，飘窗喝杯茶眺望大概放松惬意,2022年5月25日发布
高级海景大床房,于2022年5月入住,独自旅行,5,早上能看见海心情很好，酒店离海很近早上可以海边散步很惬意。,2022年5月11日发布
高级海景双床房,于2022年4月入住,朋友出游,5,酒店位置好，交通便利。周边餐饮配套设施齐全。服务较好，环境干净整洁。,2022年5月1日发布
市景大床房,于2022年4月入住,情侣出游,5,交通非常便利，离地铁口很近。步行10分钟就能到石老人海水浴场。前台服务热情周到，很喜欢房间的飘窗。,2022年4月10日发布
高级市景大床房,于2022年10月入住,朋友出游,5,房间清新舒适，卫生做的不错，采光也好。在这个价格能住这样的房子已经算是薅到了羊毛。服务态度嘛就不用说了，还不错。还会打电话咨询入住体验。总之是不错的,2022年10月7日 发布于山东
特惠市景房,于2022年4月入住,朋友出游,5,酒店位置不错，地铁离得很近出行方便，房间能直接看到海，周围是商业街，前台服务热情。很棒。,2022年4月16日发布
高级海景大床房,于2022年4月入住,商务出差,5,环境非常好，距离海边步行横跨两个马路。 无敌海景房，睡到自然醒。值得长期住！,2022年4月19日发布
市景大床房,于2022年7月入住,情侣出游,1,青岛旅游旺季，这边的酒店水平真的一言难尽。热水器竟然是电热水器，两个人洗还要等待…房间有一股味道，似乎很久没人住了，床单上还看到了隐翅虫…500多的价位200的体验，哎，踩雷的第二家酒店,2022年8月2日 发布于山东
高级市景大床房,于2022年5月入住,朋友出游,5,高楼层风景很好，住得很舒服，点外卖也很方便,2022年5月18日发布
高级海景双床房,于2022年4月入住,朋友出游,5,临近石老人浴场，步行可到达，周边美食很多，前台服务热情，性价比挺高,2022年4月22日发布
高级市景大床房,于2022年3月入住,商务出差,5,下次出差还住这。有洗衣机，折叠晾衣架，出差住很方便，外面就是丽达广场，吃东西交通各方面都十分便捷，阿姨打扫卫生也很干净。,2022年3月9日发布
高级市景大床房,于2022年2月入住,独自旅行,5,公寓卫生非常好！而且在42楼 ，视野开阔，夜景很有感觉!还录了一个延时摄影哈哈哈哈。家庭房非常可爱，杯子都是机器猫的，细节满分！,2022年2月24日发布
高级市景大床房,于2022年5月入住,商务出差,5,床很舒服 环境很好 出差很方便舒心,2022年5月25日发布
高级市景大床房,于2022年7月入住,情侣出游,1,首先入住时候下着超级大雨打电话过去就让找30号电梯在停车场.结果根本没有显眼字眼提示30号电梯在哪只有1.2.3号电梯.你需要进入3号电梯的走廊然后才能看到不起眼的小字贴上面写着30号电梯.这也真是让人无语.起码打了五个电话人家就让找30号电梯在停车场起码浪费好久时间.重点第二天离店停车费40.我是凌晨1点入住中午走的.请各位小伙伴注意,2022年7月3日发布
高级海景大床房,于2022年6月入住,情侣出游,5,非常不错 设施不错,2022年6月10日发布
高级海景双床房,于2022年5月入住,朋友出游,5,很不错的酒店，视野开阔，位置重点，房间很大,2022年5月12日发布
高级市景大床房,于2022年4月入住,朋友出游,5,很干净很好，各方面都不错 离石老人很近看日出很方便,2022年5月1日发布
高级海景双床房,于2022年6月入住,商务出差,5,首先前台接待的小姐姐很亲切热情，对于问题很多的本人非常耐心，因为房间紧张，能尽责的帮忙协调安排房间，房间楼层高，布局合理，设施齐全，方便出差入住，室内装饰比较温馨，有家的感觉，客房人员有礼貌，打扫细心，换房间的时候落了物品，客房人员也及时帮忙收集递送，会考虑作为长期出差的选择。,2022年7月2日发布
高级市景大床房,于2021年12月入住,商务出差,5,青岛出差，晚上结束与客户饭局，从黄岛区*奔酒店，突然降温到零下，加上刀子样的北风，让人吃不消。 房间在42楼，市景房，确实可以看到市景，按摩拖鞋真心令人酸爽，AO Smith热水器很快，洗澡舒服，空调给力。 早餐在32楼，原来这个早餐厅才是最大卖点，无敌海景一览无余，居然有我最爱的手抓饼和煎饺，煎蛋也不错，大快朵颐了2轮，把午餐也搞搞定。 接下来退房，去逛博物馆和老城，虽然天气寒冷，咱们走起。,2021年12月17日发布
特惠市景房,于2022年10月入住,朋友出游,5,房间很大很舒适。还有飘窗，窗户大。没有任何异味，特别干净。适合对卫生有要求的旅客，阿姨也很负责打扫，微波炉洗衣机一应俱全！下次还来！,2022年10月5日 发布于山东
亲子家庭房,于2022年1月入住,商务出差,5,对得起这个价位，冬季确实便宜，以后还会选择 唯一缺点是停车不好停，楼下停车场费用不算太低，但是在崂山石老人附近也就差不多都这样，夏天房价会贵一些,2022年1月23日发布
市景大床房,于2022年4月入住,商务出差,5,硬件设施齐全，超高层，房间大，交通便利，周边餐饮商场都有。,2022年4月13日发布
高级海景大床房,于2022年2月入住,独自旅行,5,想着说订个海景房看个海，然而天公不作美，没有图一里那么惊艳，不过周边交通和吃喝还是挺方便的，下次再来青岛还会选择的。,2022年2月12日发布
高级海景大床房,于2022年5月入住,情侣出游,5,非常好、还给延迟退房了,2022年5月16日发布
高级市景大床房,于2022年1月入住,商务出差,2.5,空调吹了一晚上30度的大风量都冷的不行。 热水器烧好了以后洗澡洗到最后一点热水也没了。 设施有一些旧，前台服务可以的，自助早餐很好吃。,2022年1月28日发布
高级海景大床房,于2022年5月入住,商务出差,5,风景好，方便，干净,2022年5月23日发布
高级海景大床房,于2022年6月入住,情侣出游,5,位置很好，房间窗户就能看到石老人海水浴场，房间内部也很不错，干净整洁，前台的服务也很好，停车的话有地下停车场，前两小时免费，停车一晚花了28，还可以的！路边也能免费停，不太好找位置也不放心！总体很好，推荐👍,2022年7月2日发布
高级市景大床房,于2022年5月入住,家庭亲子,5,很满意，前台小美女服务很好,2022年5月11日发布
市景大床房,于2022年4月入住,商务出差,5,除了晚上隔音有待提高，其他都不错。,2022年5月1日发布
高级市景大床房,于2022年2月入住,情侣出游,5,一定要吃早餐！风景绝美～房间的质量还是很不错的，对于冬季来说这个价位很亲民，就是电梯稍微有点慢外卖送不上来。,2022年2月17日发布
高级海景双床房,于2022年5月入住,商务出差,5,房间很好！周围交通便利,2022年5月15日发布
高级海景双床房,于2022年4月入住,商务出差,5,酒店位置比较便利，卫生干净 ，比较好的体验。赞一个👍,2022年4月9日发布
高级海景大床房,于2022年5月入住,商务出差,5,高层海景房，视野开阔,2022年5月12日发布
高级海景大床房,于2022年3月入住,商务出差,5,酒店的，服务态度很好，前台小姐姐们的笑容很甜。看海的的位置很棒。酒店的设施也都很完善。,2022年3月4日发布
特惠市景房,于2022年2月入住,独自旅行,5,前台服务人员说话很温和，房间卫生很好，物品配置也不错，周围交通便利，吃饭，商场，医院都有景色更美，强力推荐,2022年2月12日发布
高级市景大床房,于2022年4月入住,情侣出游,5,不小心打坏了一个杯子 前台很快就处理好了非常感谢,2022年4月4日发布
高级海景大床房,于2021年11月入住,商务出差,5,42楼 非常不错，第一次来青岛。打开窗户就能看到海，这个性价比可以说是非常高了。房间很干净整洁，床也很大。下午阳光照进来暖暖的，还有飘窗可以晒太阳。离金融中心很近，去见客户直接走路过去就行，十分满意。,2021年11月25日发布
高级市景大床房,于2022年1月入住,商务出差,5,离着海边倒是不远，居住环境也很不错，总之对得起这个价格，房间在20多层，市景还算不错，但是毕竟不是在CBD，晚上酒店外面灯光有点不尽人意了。,2022年1月6日发布
高级市景大床房,于2022年5月入住,商务出差,5,房间很好 服务好,2022年5月15日发布
高级海景双床房,于2022年3月入住,商务出差,5,出差选的酒店，真不错，一开窗帘就能看到海啦，白天晚上都非常舒心~性价比高！,2022年3月3日发布
特惠市景房,于2022年10月入住,朋友出游,5,酒店挺好的，离石老人海水浴场很近，而且周边还有商场，非常方便，要去石老人和崂山住这里就很好，前台还给提前入住，非常不错👍,2022年10月7日 发布于四川
高级市景大床房,于2022年5月入住,朋友出游,5,干净舒适整洁,2022年5月9日发布
市景大床房,于2022年2月入住,商务出差,5,房间很大，有微波炉和一些公寓式设施，主要是楼下有很多吃饭的地方和咖啡店，很方便,2022年2月24日发布
高级市景大床房,于2022年5月入住,其他,5,环境很棒的,2022年5月10日发布
特惠市景房,于2022年3月入住,朋友出游,5,很不错，空间很大也很卫生，很舒适，酒店风景也很好，性价比极其高了！,2022年3月9日发布
高级市景大床房,于2022年5月入住,情侣出游,5,还不错👍👍,2022年5月9日发布
高级海景双床房,于2022年1月入住,家庭亲子,5,酒店位于崂山区CBD，离石老人沙滩三个路口，高层公寓，海景，舒适。周边道路干净宽阔，人少车少，周边餐饮消费较高。,2022年1月18日发布
高级海景大床房,于2022年10月入住,商务出差,4.2,房间比较宽敞，设施齐全，前台服务周到。海景房观景位置极佳，最好能要一个高一点的楼层，总体是一次不错的住宿体验,2022年10月23日 发布于上海
高级市景大床房,于2022年4月入住,其他,5,房间很好，价格公道,2022年4月20日发布
高级海景大床房,于2022年1月入住,情侣出游,4,酒店环境很好，海景房的景色是真的不错，可以看到整个石老人浴场。唯一的缺点就是拖鞋太扎脚了，建议换一个平底拖鞋。。。,2022年1月11日发布
市景大床房,于2022年2月入住,情侣出游,5,这个价格冬天住非常合适，环境、卫生等比同价的快捷酒店好多了，服务态度规范，值得推荐。,2022年2月6日发布
市景大床房,于2022年7月入住,家庭亲子,5,非常好的入住体验，前台漂亮小姐姐给升级了儿童房，孩子特别开心，服务更是贴心，不小心落下了东西，打电话告知还细心的收起来，会推荐给好朋友，下次还会再来.,2022年7月26日 发布于山东
高级市景大床房,于2022年4月入住,情侣出游,5,干净整洁 适合出游,2022年4月10日发布
特惠市景房,于2022年2月入住,商务出差,5,很满意，服务态度特别好，给升级的海景，坐在窗边饮茶，雾蒙蒙的很有感觉,2022年2月12日发布
亲子家庭房,于2022年2月入住,情侣出游,5,前台在一楼大厅很好找，房间布置整齐，区中心，干啥都方便，特别值得推荐,2022年2月12日发布
高级市景大床房,于2022年5月入住,情侣出游,5,位置优越交通便利，地铁站出门几分钟就走到了。离海水浴场很近。酒店设施齐全，住得很舒服。前台人员服务热情。推荐。,2022年5月22日发布
高级海景大床房,于2022年9月入住,商务出差,5,不错不错，视野非常好，而且景色很美，只是停车比较看运气哈哈哈，要是能有固定车位就好了，总体感觉还不错，比较舒服。,2022年11月28日 发布于山东
特惠市景房,于2022年10月入住,情侣出游,5,住的非常舒适，主要是性价比很高，酒店的地理位置很优越，旁边就是地铁，吃的东西也不少，步行十分钟就到了海边,2022年10月7日 发布于山东
高级市景大床房,于2021年10月入住,朋友出游,5,🚗 交通：靠近地铁站非常方便 🧹卫生：干净整洁 茉莉味的洗手液非常喜欢 🍃环境：室内装修温馨典雅，且能通过窗户看到大海，景象太美了。 🔔服务：前台小姐姐非常棒，有问题都解决了。 早上能隐隐约约看到天边的红晕，天晴更别提波光粼粼多美了，阴天也是朦胧之美，跟朋友约好了，下次还选这里，超级棒的一次体验。,2021年10月17日发布
高级海景大床房,于2022年4月入住,情侣出游,2.2,环境可以，没得说，海景给人感觉很不错，装修风格也都很好，但是……浴巾毛巾旧的不能再旧了，感觉很差，还有就是 床硬 很硬！明明定的大床 床垫却是两个小床垫拼起来的，中间的那个缝的位置 简直太难受了！下午去的 睡了一觉，起来硌得我浑身疼，晚上没住就退了 要不然估计一晚上也睡不好。入住体验不能说很差吧，反正并不是很好。,2022年4月10日发布
特惠市景房,于2022年2月入住,朋友出游,5,服务真好，卫生也是很干净，给免费升级海景房，真好,2022年2月11日发布
亲子家庭房,于2022年2月入住,商务出差,5,满意满意满意，太满意了，视野太好了，住的很惬意,2022年2月12日发布
高级海景双床房,于2022年2月入住,朋友出游,5,酒店服务人员态度很好，在房间里看到的风景也不错,2022年2月12日发布
高级市景大床房,于2022年5月入住,独自旅行,5,住在42楼，风景很好，唯一的遗憾就是没有住到海景的房间，不过体验了在云层中的感觉，还是不错的。阿姨打扫卫生很照顾生物钟，电梯太少啦～要稍微等一会儿才行。综合来看适合选择。,2022年5月23日发布
高级海景家庭房,于2022年10月入住,朋友出游,5,位置佳，服务好，基本上有什么需求都能给满足，前台小哥哥临走的时候还送我们好多口罩和卫生湿巾，很贴心～,2022年10月7日 发布于山东
特惠市景房,于2021年12月入住,朋友出游,5,酒店非常暖和，沐浴露洗发膏很好闻，前台很好说话，离着石老人海水浴场很近，看日出yyds,2021年12月30日发布
高级市景大床房,于2022年9月入住,代人预订,4.7,给家人预定的，服务挺好，中间给免费调换了一间两个单人床的房间，之前那个房间一个双人床1米5，两个成人睡太挤了。,2022年9月12日 发布于山东
高级海景大床房,于2022年2月入住,家庭亲子,5,42层海景超赞👍，服务态度很好，房间干净温馨,2022年2月9日发布
高级市景大床房,于2022年2月入住,朋友出游,5,房间不错，视野宽敞，周边交通方便,2022年2月21日发布
高级市景大床房,于2022年11月入住,情侣出游,5,很喜欢哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2022年12月13日 发布于山东
亲子家庭房,于2022年7月入住,家庭亲子,5,离石老人浴场走路5-6分钟。老板专门给从北面的山景房换到了南面海景房，楼层相当高。看海景真的超舒服的说。下次亲戚来了还住这里！,2022年8月13日 发布于山东
亲子家庭房,于2022年2月入住,商务出差,5,酒店卫生打扫干净，景色很美，台东有灯会,2022年2月12日发布
市景大床房,于2021年10月入住,商务出差,5,每次来青岛都首选他们家，离石老人海水浴场和地铁站很近，想吃饭购的话离丽达、金狮广场都不远，楼下就有星巴克、711。房间很大，很干净，还给升级的海景房。,2021年11月4日发布
高级市景大床房,于2022年2月入住,情侣出游,5,出行交通方便，离海水浴场近,2022年2月21日发布
市景大床房,于2022年8月入住,家庭亲子,4.7,前台很热情，给升级了海景房，视野很好，卫生干净，值得推荐！还贴心的准备了晾衣架，对于夏季出游每天都要洗衣服非常必要。,2022年8月16日 发布于山东
高级市景大床房,于2022年2月入住,其他,5,价格很便宜，风景很好,2022年3月4日发布
特惠市景房,于2022年2月入住,独自旅行,5,性价比很高，设备设施齐全，很不错,2022年2月12日发布
亲子家庭房,于2022年2月入住,朋友出游,5,入住方便 低楼层电梯快,2022年3月1日发布
高级市景大床房,于2022年2月入住,情侣出游,5,舒适 服务态度好 卫生也好,2022年2月20日发布
高级海景大床房,于2021年12月入住,独自旅行,5,卫生很不错，也很舒适，房间卫生干净，海景房很nice，工作人员也很负责,2022年1月3日发布
特惠市景房,于2021年10月入住,情侣出游,5,挺好的，比较好找，前台热情，升级了房型，是真的升级了，不是说说。房间宽敞风景好，希望继续努力，第一次住着好下次肯定还会选择。就是停车不太方便,2021年10月31日发布
高级海景大床房,于2022年6月入住,其他,4,设施没有那么新，很潮，没有除湿器，最主要住酒店停车不免费，停一晚上花了28停车费。这是第一次见住酒店酒店停车场收费的，也不知道看是外地人所以忽悠。,2022年6月14日发布
特惠市景房,于2022年4月入住,独自旅行,5,价格上非常亲民，100到400这个档以内，这家店德性价比非常高了。房间内的设施比较新，卫生打扫德也很用心，没有异味。位置上，下楼距离海边很近，一公里左右。楼下也有便利店。,2022年5月5日发布
亲子家庭房,于2022年6月入住,家庭亲子,5,电梯刷卡安全可靠，亲子房空间大干净卫生，还有孩子喜欢的滑滑梯，洗衣机冰箱微波炉俱全，卫生间干湿分离，花洒水流很棒，总体很不错，性价比高。,2022年6月29日发布
特惠市景房,于2022年2月入住,朋友出游,5,huanjing环境不错啊😉,2022年2月11日发布
特惠市景房,于2022年1月入住,其他,5,房间宽敞干净，视野很好，卫生 服务都很棒,2022年2月3日发布
高级海景双床房,于2022年1月入住,家庭亲子,5,房间很干净，住着很舒服，窗户外边就是大海，夜景很美,2022年1月17日发布
亲子家庭房,于2021年11月入住,朋友出游,5,酒店环境很好 服务特别周到 房间的小摆件也很有特点 出来旅行的 没想到酒店楼下就有旅行社 也特别的经济实惠 还有接机服务,2021年11月8日发布
特惠海景房,于2021年10月入住,其他,5,一次愉快的旅行，在公寓房间内可以看到美丽的大海，早晨还看到了美美的日出，公寓的房间干净整洁，夜晚安静，前台工作人员热情周到，附近有地铁站，去景点游玩儿也很方便,2021年10月13日发布
高级市景大床房,于2022年5月入住,独自旅行,5,🔔服务：细致周到，提出的要求都可以及时满足并完成 🚗 交通：五分钟就能到地铁站，五分钟可以到丽达购物中心 🍃环境：标准的酒店式公寓，可以满足大部分人的需求,2022年5月22日发布
高级市景大床房,于2021年11月入住,情侣出游,5,值得一住 很不错-～ 跟男友在这过生日 体验不错 淡季前台小姐姐免费升级海景房了 不错 卫生打扫也不错呢 可可可可,2021年11月16日发布
亲子家庭房,于2021年11月入住,商务出差,5,前台服务态度好，房间整齐干净，入住的是充满童趣的佩奇屋，床也很舒服。房间窗户外的夜景很美，可以看到远处的浮山和繁华的崂山CBD,2021年11月4日发布
特惠市景房,于2022年2月入住,独自旅行,5,大厅很大，入住感受很好,2022年2月12日发布
市景大床房,于2022年7月入住,朋友出游,5,酒店地理位置不错，离地铁站很近，交通方便，酒店楼下就有很多好吃的，周边也有商场，服务也很好，房间很大很干净，设备齐全。,2022年7月31日 发布于上海
高级市景大床房,于2021年11月入住,独自旅行,5,免费给升级了海景房，很开心，早上一开窗帘就被美到了。房间卫生条件很好，东西也很齐全，环境很好。,2021年11月29日发布
高级海景双床房,于2022年2月入住,家庭亲子,5,非常好，非常满意，海景无敌。,2022年2月5日发布
亲子家庭房,于2022年2月入住,独自旅行,5,非常不错的一次住店体验,2022年2月10日发布
高级市景大床房,于2021年11月入住,商务出差,5,第一次住绿峰雅阁度假公寓，位置在协信星光里、附近交通便利、环境优美！服务态度热情细心！酒店干净整洁、设施齐备，很满意,2021年11月23日发布
高级市景大床房,于2021年11月入住,情侣出游,5,前台姐姐服务态度好，还给我们免费升级了海景房，酒店干净，设施齐全，天气好推荐大家住海景房，真不错！！,2021年11月21日发布
高级海景大床房,于2022年7月入住,独自旅行,5,挺好的位置，在房间飘窗上可以对着海景喝茶。房间还算干净，睡觉也很安静，楼下很多吃饭洗头都方便。前台姑娘也很热情。。。,2022年7月30日 发布于山东
高级市景大床房,于2022年3月入住,情侣出游,1.5,千万别来！！！避雷吧！！！第一，地面都没清扫干净，电视机旁的地上，墙角还有肉眼可见的脏东西，很恶心。第二，我们入住的时候前台说没打扫好，让我们办了会员卡还加了三十块钱升级了一个家庭房，让我们加微信，来之前提前订房不通过携程，这不是妥妥的小旅馆吗？？？当时就有点扫兴。第三，进了房间之后两张床，其中一个床被单破了，还有污渍和头发，恶心人呢？我知道不到二百块钱不能报太大期待，但最起码的卫生得做好吧。。。。窗帘有一层白纱，也很脏，床头也有污渍，包括床。。。。要不是我来的晚没地方去，我早就退房了。而且房间里连电话都没有，都没法联系前台。。。。。十一点就催着退房。。。。。,2022年3月6日发布
高级市景大床房,于2022年10月入住,商务出差,5,真的挺不错的， 卫生：很干净 环境：很舒适，市景尽收眼底 服务：非常贴心 设施：比较新,2022年10月14日 发布于山东
特惠市景房,于2021年10月入住,情侣出游,5,此酒店特别深入我心 在这个价位里 国庆黄金周还能做到不到二百一晚 细节感满满 给升级了海景房 服务特别周到 房间宽敞明亮干净 以后来青岛必住此酒店,2021年10月8日发布
高级市景大床房,于2022年2月入住,商务出差,5,服务非常好，很舒适,2022年2月10日发布
高级市景大床房,于2021年8月入住,独自旅行,5,超乎我的想象其实，挺不错的，位置好找，安静，高层，非常好，免费升了房。前台的服务也好，这才是真正的酒店服务业～楼下就是便利店方便得很，下次我去青岛还会选他们家的～ 🔔服务： 🍃环境： 🧹卫生： 🚗 交通： 【迷人海景】,2021年9月1日发布
高级市景大床房,于2022年7月入住,朋友出游,2.5,隔音很差，一晚都没睡好，早上也很早就被外面吵醒，当天价格浮动还挺大的，基本上看的差评都踩到了，建议看完评论再定。,2022年8月3日 发布于山东
亲子家庭房,于2021年10月入住,朋友出游,5,这是我出门旅行住的最好的酒店，房间大、干净，被褥舒适。国庆节后价格很实惠非常满意，前台的小妹妹和管理房间的大嫂都非常好客热情，这次旅行很顺心,2021年10月12日发布
特惠市景房,于2021年12月入住,商务出差,5,看海很棒，服务很好，卫生很好，绿峰雅阁是青岛的连锁公寓，很不错,2021年12月30日发布
特惠市景房,于2022年2月入住,商务出差,5,挺好挺好挺好的,2022年2月12日发布
高级市景大床房,于2022年10月入住,情侣出游,5,设施：设施丰富齐全 卫生：非常干净 住过最干净的之一 服务：服务非常好，待人很真诚,2022年10月9日 发布于山东
